Winery,Wine name,Vintage,Region,Country,Regional wine style,Average rating,Scan date,Your rating,Your price,Your review,Personal note,Wine type,Drinking window,Food pairing,Link to wine,Label image
,Colnero,2009,,,,3.5,2015-06-15 17:05,3.5,,Ottimo con spezie Cajun.,,Red Wine, - ,"Beef, Lamb, Spicy food, Poultry",https://www.vivino.com/wines/25683323,https://images.vivino.com/labels/02cwx4f0dgq35.jpg
Fontanafredda,Langhe Arneis,2013,Langhe,Italy,Northern Italy White,3.4,2014-11-18 18:06,4.0,,Ma è un po' frizzante? O forse mi sembrava tale perché pasteggiai a base di peperoncino?,,White Wine, - ,"Pasta, Shellfish, Mature and hard cheese, Lean fish, Cured Meat",https://www.vivino.com/wines/9062179,https://images.vivino.com/labels/01gu2ug8k5pv8.jpg
Alois Lageder ,Rain Riesling,2012,Alto Adige,Italy,Northern Italy White,3.8,2015-12-24 11:11,3.0,,Ananas. Il tappo di sughero marcato 2012 si è rotto in tre parti.,,White Wine, - ,"Pasta, Shellfish, Mature and hard cheese, Lean fish, Cured Meat",https://www.vivino.com/wines/3294856,https://images.vivino.com/labels/FH7FMwtzSDiE-c6z_mTyzw.jpg
Château Moulin de Raymond,Bordeaux Supérieur,2011,Bordeaux Supérieur,France,Bordeaux Red,3.3,2015-05-01 18:06,3.5,,Morbido.,,Red Wine, - ,"Beef, Veal, Game (deer, venison), Poultry",https://www.vivino.com/wines/9471401,https://images.vivino.com/labels/026lxtijqyhll.jpg
Tenuta Bonzara,Le Carrate Colli Bolognesi Superiore Sauvignon,,Emilia-Romagna,Italy,Central Italy White,3.4,2014-11-30 12:12,2.0,,Cat pee,,White Wine, - ,"Pasta, Vegetarian, Apertizers and snacks, Lean fish, Cured Meat",https://www.vivino.com/wines/3457064,https://images.vivino.com/labels/01ilhmuojmhzt.jpg
,Grüner Veltliner della Valle Isarco,2013,,,,4.0,2014-10-30 18:06,4.0,,Frizzante e amaro.,,White Wine, - ,"",https://www.vivino.com/wines/11021228,https://images.vivino.com/labels/01ebpujqkosmc.jpg
Fondo Ca Vecja,Bantel Sangiovese,2012,Emilia-Romagna,Italy,Central Italy Red,3.5,2015-03-22 17:05,4.0,,Una garanzia.,,Red Wine, - ,"Beef, Pasta, Veal, Poultry",https://www.vivino.com/wines/18173010,https://images.vivino.com/labels/020xxkuv5x5yt.jpg
Abbazia di Novacella,Gewürztraminer,2015,Trentino-Alto Adige,Italy,Northern Italy Gewürztraminer,3.9,2015-09-27 17:05,,,,,White Wine, - ,"Pork, Rich fish (salmon, tuna etc), Spicy food, Poultry, Mild and soft cheese",https://www.vivino.com/wines/21434978,https://images.vivino.com/labels/02r6f5xfuwgoc.jpg
Fazi Battaglia,Verdicchio dei Castelli di Jesi Classico,2013,Marche,Italy,Central Italy White,3.4,2014-11-28 18:06,3.0,,Basso.,,White Wine, - ,"Pasta, Vegetarian, Apertizers and snacks, Lean fish, Cured Meat",https://www.vivino.com/wines/2199304,https://images.vivino.com/labels/01i8ioi8oyc1b.jpg
,Vigna delle Poiane - Sangiovese Riserva,2010,,,,4.0,2015-03-25 18:06,4.0,,Secco.,,Red Wine, - ,"Beef, Veal, Pork, Game (deer, venison), Mature and hard cheese, Poultry",https://www.vivino.com/wines/19621395,https://images.vivino.com/labels/0218mcpo58wlc.jpg
,Fiorile Brisighella,2013,,,,4.0,2014-12-26 12:12,4.0,,Legno.,,White Wine, - ,"",https://www.vivino.com/wines/13660433,https://images.vivino.com/labels/01novcd3in5r6.jpg
,Plebe St. Andrée Chardonnay,,,,,4.5,2015-04-05 17:05,4.5,,Il mio preferito,,White Wine, - ,"Pork, Rich fish (salmon, tuna etc), Vegetarian, Poultry",https://www.vivino.com/wines/21754461,https://images.vivino.com/labels/0231jt8bk1ytj.jpg
Fondo Ca Vecja,Colvento Colli D'Imola Bianco Superiore,2008,Emilia-Romagna,Italy,Central Italy White,4.0,2014-12-20 20:08,4.0,,,,White Wine, - ,"Pasta, Vegetarian, Apertizers and snacks, Lean fish, Cured Meat",https://www.vivino.com/wines/2373818,https://images.vivino.com/labels/01lqynkw1prns.jpg
Margherita Bidoli,Friulano Friuli,2014,Friuli-Venezia Giulia,Italy,Northern Italy White,3.6,2015-10-11 10:10,3.0,,Leggero e delicatamente frizzante.,,White Wine, - ,"Pasta, Shellfish, Mature and hard cheese, Lean fish, Cured Meat",https://www.vivino.com/wines/18554597,https://images.vivino.com/labels/xDSD_ZfCThyeuZHkOsEu5Q.jpg
Mezzacorona,Gewürztraminer Trentino,2013,Trentino,Italy,Northern Italy Gewürztraminer,3.4,2014-11-21 18:06,4.0,,Albicocca.,,White Wine, - ,"Pork, Rich fish (salmon, tuna etc), Spicy food, Poultry, Mild and soft cheese",https://www.vivino.com/wines/4141451,https://images.vivino.com/labels/01h61yj7tdivy.jpg
,Alto Adige Casòn Hirschprunn Bianco,2012,,,,4.0,2016-01-16 19:07,4.0,,Camomilla (E.),,Unknown, - ,"",https://www.vivino.com/wines/95084504,https://images.vivino.com/labels/aMaGs_jwSNSqPKT0YU4Mpw.jpg
Colterenzio,St. Daniel Pinot Nero (Blauburgunder) Riserva Südtirol Alto Adige,2011,Trentino-Alto Adige,Italy,Northern Italy Pinot Noir,3.7,2016-01-05 12:12,,,,,Red Wine, - ,"Beef, Veal, Game (deer, venison), Poultry",https://www.vivino.com/wines/2398100,https://images.vivino.com/labels/Z5Be_xGZRA6Vq83pr-4whw.jpg
Le Grand Noir,Black Sheep GSM,2013,Minervois,France,Languedoc-Roussillon Red,3.5,2015-08-06 14:02,2.5,,Molto secco.,,Red Wine, - ,"Beef, Pasta, Veal",https://www.vivino.com/wines/7022739,https://images.vivino.com/labels/02jwp9qvk6if8.jpg
,"Colli d'Imola Vigna dei Merli, Riserva",2008,,,,4.0,2015-04-07 10:10,4.0,,Amarena e polvere da sparo!,,Red Wine, - ,"Beef, Lamb, Spicy food, Poultry",https://www.vivino.com/wines/20515832,https://images.vivino.com/labels/023aiw3nshvqr.jpg
Domini Veneti,Castelrotto Amarone della Valpolicella Classico,2005,Amarone della Valpolicella Classico,Italy,Italian Amarone,4.5,2016-03-12 19:07,5.0,,Ciliegia. Molto tondo.,,Red Wine, - ,"Beef, Lamb, Game (deer, venison), Blue cheese",https://www.vivino.com/wines/12868554,https://images.vivino.com/labels/opD-bZfrTeu0KSKpsuFb-g.jpg
,Castelletto,2011,,,,4.0,2014-12-31 21:09,4.0,,Bello secco.,,Red Wine, - ,"Beef, Game (deer, venison)",https://www.vivino.com/wines/14086988,https://images.vivino.com/labels/01p9w8df6hwna.jpg
Stefano Ferrucci,Centurione Superiore di Romagna Sangiovese,2013,Emilia-Romagna,Italy,Central Italy Red,3.2,2014-12-07 11:11,3.0,€10,Il 2012 era migliore.,"San Silvestro in cantina, Bologna.",Red Wine, - ,"Beef, Pasta, Veal, Poultry",https://www.vivino.com/wines/7235264,https://images.vivino.com/labels/01jj94xkrvuuz.jpg
,Castelletto,2011,,,,3.5,2015-02-14 17:05,3.5,,,,Red Wine, - ,"Beef, Game (deer, venison)",https://www.vivino.com/wines/17109267,https://images.vivino.com/labels/01vwudn0k3b0l.jpg
Mezzacorona,Castel Firmian Lagrein Trentino,2013,Trentino,Italy,Northern Italy Red,3.8,2015-10-17 10:10,3.0,,Maraschino,,Red Wine, - ,"Beef, Pasta, Lamb, Game (deer, venison)",https://www.vivino.com/wines/8023193,https://images.vivino.com/labels/skpp6kG7RDSpSw-7Z-I8Fw.jpg
La Canosa,Offida Passerina,2014,Marche,Italy,Central Italy White,2.8,2015-12-05 12:12,1.0,,Non recensibile. Purtroppo il tappo probabilmente non ha fatto tenuta bene. Quando ho avvitato il cavatappi ho dovuto spingere un po' ed il tappo è scivolato verso l'interno.,,White Wine, - ,"Pasta, Vegetarian, Apertizers and snacks, Lean fish, Cured Meat",https://www.vivino.com/wines/10699090,https://images.vivino.com/labels/aenjJlb9RgGawv1_saLdGQ.jpg
Rasore,Torrato Primo Giorno Rosso,,,,,2.1,2014-12-28 11:11,2.5,,Un po' aspro.,,Red Wine, - ,"",https://www.vivino.com/wines/12195736,https://images.vivino.com/labels/01o95rb7ngxl0.jpg
,Le Caselle Trebbiano,,,,,3.0,2015-01-30 18:06,3.0,,Fruttato.,,White Wine, - ,"",https://www.vivino.com/wines/15810965,https://images.vivino.com/labels/01tt9kud6qpe6.jpg
Paltrinieri,Leclisse,2013,Emilia-Romagna,Italy,Central Italy Red,3.5,2015-01-17 17:05,3.0,,Alla fine non è malaccio con gli spiedini.,,Red Wine, - ,"Beef, Pasta, Veal, Poultry",https://www.vivino.com/wines/5228600,https://images.vivino.com/labels/01s2k33qlhpdu.jpg
Col Vetoraz,Valdobbiadene Prosecco Frizzante,2013,Prosecco di Conegliano-Valdobbiadene,Italy,Italian Prosecco,4.3,2014-12-06 20:08,4.0,,Sa proprio di uva. Buono,,Sparkling, - ,"Shellfish, Vegetarian, Apertizers and snacks, Aperitif, Cured Meat",https://www.vivino.com/wines/2161262,https://images.vivino.com/labels/01jfjh2v5c5w4.jpg
Fondo Ca Vecia,Due Pievi Vino Bianco,2014,,,,3.8,2016-05-14 11:11,,,,,Red Wine, - ,"",https://www.vivino.com/wines/118023352,https://images.vivino.com/labels/21aKHmOOSbWNAPC4uXID8A.jpg
,Sfide,2012,,,,3.5,2014-12-08 11:11,3.5,€13,"Annusandolo: Alcol denaturato (A.). Bevendolo: piccoli frutti rossi (S.), secco (A.).",,Red Wine, - ,"",https://www.vivino.com/wines/12630854,https://images.vivino.com/labels/01jozx0tnlklc.jpg
Fondo Ca Vecia,Due Pievi Vino Bianco,2011,,,,0.0,2016-05-14 11:12,,,,,Red Wine, - ,"",https://www.vivino.com/wines/143190859,https://images.vivino.com/labels/Ag_MOaO4ShGwHxZ25bSVHw.jpg
,Bantel,2011,,,,4.0,2014-11-01 12:12,4.0,,Secco. Maraschino.,,Red Wine, - ,"Beef, Veal, Pork, Game (deer, venison), Mature and hard cheese, Poultry",https://www.vivino.com/wines/11086434,https://images.vivino.com/labels/01ekj0m8g3bd3.jpg
Grifo,1815 Etna Rosso,,Toscana,Italy,Central Italy Red,3.3,2016-01-03 12:12,2.5,,Molto profumato annusandolo ma poi senza sapore bevendolo.,,Red Wine, - ,"Beef, Pasta, Veal, Poultry",https://www.vivino.com/wines/6161903,https://images.vivino.com/labels/Pridfxs_SM-5sLyCrtaljA.jpg
,Franciacorta Brut,2012,,,,4.0,2014-12-31 20:08,4.0,,Buono!,,White Wine, - ,"Beef, Lamb, Pork, Rich fish (salmon, tuna etc), Vegetarian, Poultry",https://www.vivino.com/wines/14079511,https://images.vivino.com/labels/01p7r70bfcmht.jpg
Pietraserena,Chianti,2006,Chianti,Italy,Italian Chianti,3.5,2014-10-26 17:05,3.5,,Chiodi di garofano e amarena.,,Unknown, - ,"Beef, Veal, Poultry",https://www.vivino.com/wines/10908133,https://images.vivino.com/labels/01dy49i4c9s2j.jpg
Bersi Serlini,Franciacorta,,Lombardia,Italy,,4.0,2016-01-03 12:12,3.0,,Non me lo ricordo più. Bevuto 31/12/2015.,,Sparkling, - ,"Veal, Pork, Game (deer, venison), Rich fish (salmon, tuna etc), Vegetarian, Poultry",https://www.vivino.com/wines/2736822,https://images.vivino.com/labels/4KtxeGM3S_W0FygSuYr42Q.jpg
La Berta,Romagna Superiore Sangiovese,2014,Emilia-Romagna,Italy,Central Italy Red,3.7,2015-05-09 21:09,3.5,,Nocciola.,,Red Wine, - ,"Beef, Pasta, Veal, Poultry",https://www.vivino.com/wines/14772711,https://images.vivino.com/labels/027sv7ximjscw.jpg
Ca dei Zago,Col Fondo Prosecco,2014,Veneto,Italy,Italian Prosecco,3.7,2015-12-19 19:07,4.0,,Arancia.,,Sparkling, - ,"Shellfish, Vegetarian, Apertizers and snacks, Aperitif, Cured Meat",https://www.vivino.com/wines/12314673,https://images.vivino.com/labels/pP_iMewKTIqqUiK44LukPA.jpg
Marenco,Barbera D'Asti Bassina,2013,Asti,Italy,Italian Barbera,2.4,2015-04-05 09:09,3.0,,Troppo legno.,,Red Wine, - ,"Pasta, Veal, Pork, Game (deer, venison), Poultry",https://www.vivino.com/wines/7592341,https://images.vivino.com/labels/022x58b6tjcho.jpg
Francois Dubois,Champagne Brut,2008,Champagne,France,French Champagne,3.1,2016-01-05 12:12,,,,,Sparkling, - ,"Pork, Rich fish (salmon, tuna etc), Shellfish, Mild and soft cheese",https://www.vivino.com/wines/1377765,https://images.vivino.com/labels/6b4s6CVlRSeq54Wc3pg9vw.jpg
Mezzacorona,Castel Firmian Gewürztraminer Trentino,2014,Trentino,Italy,Northern Italy Gewürztraminer,3.7,2015-10-04 09:09,4.0,,Pesca.,,White Wine, - ,"Pork, Rich fish (salmon, tuna etc), Spicy food, Poultry, Mild and soft cheese",https://www.vivino.com/wines/11114866,https://images.vivino.com/labels/02s2jxa1eeuzt.jpg
Tenuta San Guido,Le Difese,2013,Toscana,Italy,Central Italy Red,3.7,2015-12-19 20:08,4.0,,Ricorda il mirtillo.,,Red Wine, - ,"Beef, Pasta, Veal, Poultry",https://www.vivino.com/wines/2346625,https://images.vivino.com/labels/P7RjRtZMTCuAg2YdhKSlrA.jpg
Corallo,Nero Sangiovese di Romagna Superiore Riserva,2008,Valpolicella,Italy,Northern Italy Red,3.7,2015-03-07 21:09,3.0,,,,Red Wine, - ,"Beef, Pasta, Lamb, Game (deer, venison)",https://www.vivino.com/wines/1372941,https://images.vivino.com/labels/01yx29mwj2njf.jpg
Fondo Ca Vecia,Vigna Del Pellicano Albana Di Romagna Passito,2010,Albana di Romagna,Italy,Central Italy White,4.1,2015-12-08 13:01,4.5,,Eccellente.,,White Wine, - ,"Pasta, Vegetarian, Apertizers and snacks, Lean fish, Cured Meat",https://www.vivino.com/wines/10889124,https://images.vivino.com/labels/yPpUYFi4RW6mTB8AGMoxPw.jpg
Folini,Vintage Ribolla Gialla,2014,Friuli-Venezia Giulia,Italy,Northern Italy White,3.1,2015-11-27 17:05,3.0,,Leggermente amaro.,,White Wine, - ,"Pasta, Shellfish, Mature and hard cheese, Lean fish, Cured Meat",https://www.vivino.com/wines/13930219,https://images.vivino.com/labels/LsqjQ3h3Qj-K7nwj47j8cA.jpg
R. López de Heredia Viña Tondonia,Viña Tondonia Reserva,2005,Rioja,Spain,Spanish Rioja Red,3.9,2014-12-26 13:01,4.0,,,,Red Wine, - ,"Beef, Lamb, Veal, Poultry",https://www.vivino.com/wines/2591220,https://images.vivino.com/labels/01npepafy2i86.jpg
Giovannini,Giocondo Cabernet Sauvignon,,,,,3.7,2015-08-02 05:05,3.0,,Piacione. (il Gallo a Castel del Rio),,Red Wine, - ,"Beef, Lamb, Spicy food, Poultry",https://www.vivino.com/wines/1543228,https://images.vivino.com/labels/02jfq1yg2d7aj.jpg
Fondo Ca Vecia,Due Pievi Vino Bianco,2014,,,,3.8,2016-06-02 10:11,,,,,Red Wine, - ,"",https://www.vivino.com/wines/118023352,https://images.vivino.com/labels/cwgMOIi5SyWhH2tzJLP4pg.jpg
Loggia del Giullare,Toscano Rosso,2000,Toscana,Italy,Central Italy Red,2.8,2015-10-25 17:05,2.0,,Un po' troppo acido,,Red Wine, - ,"Beef, Pasta, Veal, Poultry",https://www.vivino.com/wines/13897481,https://images.vivino.com/labels/jLNqvtWtQjW4FCmx8UgiFQ.jpg
,Trebbiano Vigna Rio,2012,,,,3.5,2014-11-14 19:07,3.5,,Sa di trebbiano. Si sente un po' l'alcool alla fine.,,White Wine, - ,"",https://www.vivino.com/wines/11578707,https://images.vivino.com/labels/01g8fi14ffeiv.jpg
